pdbid,LigandRmsdMean,LigandRmsdSd,ProteinRmsdMean,ProteinRmsdSd,di1_1-4 EEL_mean,di1_1-4 EEL_sd,di1_1-4 VDW_mean,di1_1-4 VDW_sd,di1_DELTA G gas_mean,di1_DELTA G gas_sd,di1_DELTA G solv_mean,di1_DELTA G solv_sd,di1_DELTA TOTAL_mean,di1_DELTA TOTAL_sd,di1_EDISPER_mean,di1_EDISPER_sd,di1_EEL_mean,di1_EEL_sd,di1_ENPOLAR_mean,di1_ENPOLAR_sd,di1_EPB_mean,di1_EPB_sd,di4_1-4 EEL_mean,di4_1-4 EEL_sd,di4_1-4 VDW_mean,di4_1-4 VDW_sd,di4_DELTA G gas_mean,di4_DELTA G gas_sd,di4_DELTA G solv_mean,di4_DELTA G solv_sd,di4_DELTA TOTAL_mean,di4_DELTA TOTAL_sd,di4_EDISPER_mean,di4_EDISPER_sd,di4_EEL_mean,di4_EEL_sd,di4_ENPOLAR_mean,di4_ENPOLAR_sd,di4_EPB_mean,di4_EPB_sd,index,owner,VDW
4bva,0.506330504,0.007535401,2.011083997,0.009031988,0,8E-05,0,4E-05,-70.70556,6.78372,43.42134,7.02724,-27.28422,4.35534,0,0,-23.5576,6.39936,-4.09088,0.08302,47.51224,7.05422,0,8E-05,0,4E-05,-53.03738,3.32408,7.07434,1.58208,-45.96302,2.96766,0,0,-5.88942,1.59986,-4.09088,0.08302,11.16524,1.60768,7552,DIVYAK,-47.148
6ge7,1.617902227,0.017141104,1.70022159,0.004193499,0,4E-05,0,2E-05,-55.80772,8.08262,16.44338,5.1679,-39.36432,4.97718,0,0,-13.09782,7.36454,-4.99176,0.15462,21.43514,5.24356,0,4E-05,0,2E-05,-45.98434,3.87792,0.0031,1.16234,-45.98126,3.54834,0,0,-3.27444,1.84114,-4.99176,0.15462,4.99486,1.23266,1798,PRADEEP,-42.7099
4i5p,0.297215386,0.00638539,1.808585841,0.007081129,0,2E-05,0,8E-05,-63.14282,5.4815,34.21702,4.47216,-28.9258,3.91138,0,0,-16.14156,5.18642,-4.03838,0.0868,38.2554,4.48232,0,2E-05,0,8E-05,-51.03664,2.88998,5.0492,1.01568,-45.98746,2.6544,0,0,-4.0354,1.29662,-4.03838,0.0868,9.08756,1.02456,9673,PRADEEP,-47.00126
1h63,1.062341573,0.00892387,1.353005572,0.004590061,0,2E-05,0,2E-05,-123.44106,8.02024,89.12442,8.13082,-34.31666,5.38888,0,0,-80.2865,8.3253,-4.53324,0.10282,93.65766,8.145,0,2E-05,0,2E-05,-63.22618,4.21962,17.20588,1.92302,-46.0203,3.8816,0,0,-20.07164,2.08132,-4.53324,0.10282,21.73914,1.93706,6965,ROHIT,-43.15454
4pab,1.30376903,0.013442472,1.430088647,0.006857669,0,4E-05,0,4E-05,-110.19236,7.07256,89.645,7.4782,-20.54736,5.91704,0,0,-62.803,7.26324,-5.20938,0.09998,94.85438,7.4873,0,4E-05,0,4E-05,-63.09012,3.38876,17.051,1.7107,-46.03908,3.2856,0,0,-15.70074,1.81582,-5.20938,0.09998,22.26038,1.71888,6173,ROHIT,-47.38938
5j7w,1.776414568,0.012360064,2.708629885,0.020027062,0,2E-05,0,0,-86.97812,7.90594,69.68464,8.70788,-17.29348,5.29484,0,0,-37.87832,7.8603,-4.97448,0.13412,74.65912,8.73996,0,2E-05,0,0,-58.56934,3.72498,12.52696,1.89526,-46.04244,3.28438,0,0,-9.46956,1.96506,-4.97448,0.13412,17.50146,1.92498,3895,SHRUTI,-49.0998
3g0x,0.653888273,0.002573422,1.474636102,0.004848356,0,0,0,4E-05,-76.68598,3.6241,47.58374,3.02816,-29.10224,3.15086,0,0,-30.21156,4.084,-4.02144,0.09024,51.60518,3.05318,0,0,0,4E-05,-54.02734,2.3492,7.97234,0.64196,-46.05502,2.36034,0,0,-7.55288,1.021,-4.02144,0.09024,11.99376,0.6618,5550,ROHIT,-46.47444
4anq,0.592710596,0.017136924,1.797399712,0.006713404,0,6E-05,0,4E-05,-56.78892,4.0894,23.41486,3.39918,-33.37406,3.13784,0,0,-11.42108,3.59942,-4.42584,0.11184,27.84072,3.42826,0,6E-05,0,4E-05,-48.2231,2.99888,2.16764,0.7574,-46.05546,2.84866,0,0,-2.85528,0.89988,-4.42584,0.11184,6.59348,0.78276,7947,PRADEEP,-45.36786
5u69,0.281620123,0.005449748,1.48456794,0.005223019,0,6E-05,0,2E-05,-55.95064,3.41718,28.29144,3.1969,-27.65924,3.6028,0,0,-8.3285,2.56618,-3.99374,0.09414,32.28516,3.23154,0,6E-05,0,2E-05,-49.70428,2.46474,3.63038,0.69814,-46.07388,2.38062,0,0,-2.08214,0.64154,-3.99374,0.09414,7.62408,0.72966,4187,SHRUTI,-47.6221
3rsv,0.461628553,0.012550709,3.974900506,0.026903813,0,2E-05,0,6E-05,-77.78448,6.07802,49.20428,6.08098,-28.58018,3.84006,0,0,-31.26162,6.25068,-4.95042,0.139,54.15468,6.1229,0,2E-05,0,6E-05,-54.33828,3.0116,8.242,1.42934,-46.0963,2.75102,0,0,-7.81538,1.56268,-4.95042,0.139,13.19238,1.46844,5207,SARVESH,-46.52288
1ted,1.303349563,0.005615631,2.155117763,0.015436757,0,0,0,2E-05,-69.84998,4.31194,34.15326,3.23972,-35.69674,3.65388,0,0,-24.6669,4.7132,-3.70156,0.06954,37.8548,3.2418,0,0,0,2E-05,-51.3498,2.92796,5.22554,0.7199,-46.1243,2.93116,0,0,-6.16672,1.17832,-3.70156,0.06954,8.92706,0.72082,3514,ROHIT,-45.18308
4lb4,1.334852439,0.021248057,1.278291887,0.004321925,0,0,0,8E-05,-49.14946,2.38208,16.19394,2.21402,-32.95552,2.82714,0,0,0,0,-0.9614,0.11106,17.15534,2.26602,0,0,0,8E-05,-49.14946,2.38208,3.02432,0.47092,-46.12512,2.32952,0,0,0,0,-0.9614,0.11106,3.9857,0.51556,2631,SHRUTI2,-49.14944
1zp8,2.663414039,0.020894222,2.838245817,0.020473378,0,2E-05,0,4E-05,-75.28672,8.6217,48.24554,7.24328,-27.0412,4.62738,0,0,-28.85524,8.14144,-5.33082,0.26416,53.57634,7.36088,0,2E-05,0,4E-05,-53.64528,4.11868,7.5006,1.63346,-46.1447,3.59874,0,0,-7.2138,2.03536,-5.33082,0.26416,12.8314,1.73906,6969,ROHIT,-46.43146
3cfb,0.662797508,0.014280244,1.783639272,0.010383442,0,6E-05,0,6E-05,-78.21402,5.50066,48.59442,5.04154,-29.6196,4.36824,0,0,-31.70938,5.58614,-4.107,0.091,52.70146,5.0643,0,6E-05,0,6E-05,-54.432,2.6962,8.2804,1.1361,-46.15156,2.60846,0,0,-7.92734,1.39652,-4.107,0.091,12.38744,1.15616,2439,DIVYAK,-46.50464
4jrg,1.265694145,0.01556385,1.469491807,0.008761131,0,4E-05,0,6E-05,-68.92322,7.69024,33.46612,6.496,-35.45706,3.44416,0,0,-24.41776,7.7505,-4.44952,0.1992,37.91568,6.5936,0,4E-05,0,6E-05,-50.60986,3.41018,4.44838,1.45244,-46.1615,3.04992,0,0,-6.10444,1.93764,-4.44952,0.1992,8.89792,1.54302,6980,ROHIT,-44.50542
2rf2,0.654995733,0.007331189,2.253930568,0.01002298,0,2E-05,0,4E-05,-78.1696,4.9054,44.3865,4.12166,-33.7831,3.47216,0,0,-32.50142,5.24366,-3.53146,0.07264,47.91796,4.11222,0,2E-05,0,4E-05,-53.79356,2.72022,7.62214,0.96426,-46.17144,2.66054,0,0,-8.12538,1.31092,-3.53146,0.07264,11.1536,0.95248,6278,PRADEEP,-45.6682
4h3q,0.848817455,0.005130026,1.933996545,0.007831338,0,2E-05,0,0,-158.0052,12.03332,128.29402,9.74458,-29.71118,7.47746,0,0,-113.46542,12.64138,-4.60998,0.0843,132.904,9.73144,0,2E-05,0,0,-72.90612,4.30512,26.73268,2.26686,-46.17346,3.52638,0,0,-28.36634,3.16036,-4.60998,0.0843,31.34262,2.25246,2573,DIVYAK,-44.53978
6fut,0.37179234,0.008987329,1.592701022,0.006003039,0,2E-05,0,6E-05,-72.5809,7.05534,44.3249,7.3729,-28.25602,3.84542,0,0,-25.61194,7.5064,-4.44416,0.15926,48.76906,7.43422,0,2E-05,0,6E-05,-53.37196,3.07214,7.17956,1.6793,-46.1924,2.93624,0,0,-6.40298,1.8766,-4.44416,0.15926,11.62376,1.73594,3049,ROHIT,-46.96898
3wz6,1.946132839,0.014156949,1.172390308,0.006183818,0,0,0,0,-77.54218,6.29498,48.82892,5.69106,-28.71324,4.37064,0,0,-31.66128,4.97106,-4.82976,0.18214,53.6587,5.77532,0,0,0,0,-53.79622,3.8344,7.60246,1.25362,-46.19376,3.41966,0,0,-7.9153,1.24278,-4.82976,0.18214,12.43218,1.3292,6287,PRADEEP,-45.88088
5d1j,0.903414589,0.015465883,2.502666607,0.012183932,0,2E-05,0,6E-05,-72.566,5.3796,44.03446,4.25062,-28.53156,3.71194,0,0,-25.69802,4.90968,-4.42694,0.0932,48.4614,4.25182,0,2E-05,0,6E-05,-53.29248,3.16302,7.0927,0.9853,-46.19982,3.06376,0,0,-6.42452,1.22742,-4.42694,0.0932,11.51964,0.9838,4555,PRADEEP,-46.868
4rls,0.356774975,0.008939717,1.866860591,0.008805814,0,4E-05,0,6E-05,-94.0358,5.35972,62.97868,4.9426,-31.05714,4.1935,0,0,-48.2368,5.85054,-3.9296,0.08928,66.90824,4.94046,0,4E-05,0,6E-05,-57.8582,2.81048,11.65718,1.17226,-46.201,2.65356,0,0,-12.0592,1.46262,-3.9296,0.08928,15.58676,1.17,5437,SARVESH,-45.799
4o3f,0.868444219,0.012792494,1.698442959,0.01146059,0,4E-05,0,4E-05,-58.63558,4.1667,23.8809,3.1254,-34.7547,2.91334,0,0,-13.03946,3.73922,-3.96056,0.10476,27.8415,3.15818,0,4E-05,0,4E-05,-48.85602,2.61042,2.64866,0.71146,-46.20734,2.52086,0,0,-3.25986,0.9348,-3.96056,0.10476,6.60926,0.7392,3413,SHRUTI,-45.59616
4j5j,1.915772921,0.016665817,1.693621421,0.006270581,0,6E-05,0,2E-05,-97.47028,8.0385,72.84708,7.24472,-24.62318,6.49308,0,0,-50.53562,7.1567,-5.41704,0.16912,78.26412,7.30656,0,6E-05,0,2E-05,-59.56854,4.04314,13.34434,1.62336,-46.22422,3.54726,0,0,-12.63392,1.78916,-5.41704,0.16912,18.76138,1.68248,10168,SUBHAJIT,-46.93464
3hrb,0.327724363,0.005904581,2.667486043,0.015962855,0,6E-05,0,4E-05,-62.15012,4.12624,26.888,3.7071,-35.2621,3.67864,0,0,-16.9325,3.69504,-3.9562,0.08634,30.84424,3.72682,0,6E-05,0,4E-05,-49.45072,2.4805,3.21632,0.86172,-46.23442,2.42508,0,0,-4.23314,0.92374,-3.9562,0.08634,7.17252,0.87984,7855,SARVESH,-45.2176
5nty,1.127322693,0.009213639,1.427025976,0.006398008,0,6E-05,0,4E-05,-68.76916,3.5024,33.25102,2.55146,-35.51814,3.51144,0,0,-23.75712,3.58782,-3.92212,0.09328,37.17312,2.55594,0,6E-05,0,4E-05,-50.95132,2.64654,4.7088,0.57574,-46.2425,2.60314,0,0,-5.93928,0.89696,-3.92212,0.09328,8.63092,0.57382,3087,SHRUTI,-45.01204
2qo4,0.760047827,0.012172712,1.563962662,0.008071205,0,4E-05,0,4E-05,-78.18428,7.1045,50.02306,6.55138,-28.16122,4.03984,0,0,-31.63868,7.04454,-4.70022,0.1116,54.7233,6.57614,0,4E-05,0,4E-05,-54.45528,3.4162,8.20414,1.50332,-46.25114,2.94506,0,0,-7.9097,1.76116,-4.70022,0.1116,12.90434,1.52562,4572,PRADEEP,-46.5456
5nu8,1.167807149,0.006645724,1.563251637,0.005564697,0,6E-05,0,2E-05,-76.44088,4.46346,38.81298,3.4614,-37.62788,3.57894,0,0,-32.32786,4.7937,-4.01618,0.10662,42.82916,3.47216,0,6E-05,0,2E-05,-52.19498,2.86626,5.93418,0.7783,-46.26078,2.80786,0,0,-8.08194,1.19842,-4.01618,0.10662,9.95038,0.78428,3982,ROHIT,-44.11302
4bnh,0.738542479,0.009577371,1.846401042,0.008929121,0,6E-05,0,6E-05,-64.17524,4.28244,39.40076,4.10896,-24.77448,3.67478,0,0,-16.2357,3.53558,-3.95358,0.0918,43.35436,4.1221,0,6E-05,0,6E-05,-51.99844,2.65226,5.73362,0.88348,-46.26484,2.45618,0,0,-4.05892,0.8839,-3.95358,0.0918,9.6872,0.8939,6258,SARVESH,-47.93954
2vu3,0.258770655,0.004874924,1.807465578,0.006015589,0,8E-05,0,2E-05,-74.82336,5.75786,41.69664,4.94406,-33.12676,3.46962,0,0,-29.1023,6.00704,-4.26078,0.08442,45.95744,4.938,0,8E-05,0,2E-05,-52.99666,2.59814,6.73176,1.11776,-46.26492,2.44664,0,0,-7.27556,1.50176,-4.26078,0.08442,10.99254,1.11018,4310,SHRUTI,-45.7211
1zpt,0.976287811,0.008871251,1.902225248,0.008933847,0,4E-05,0,4E-05,-105.73262,8.6693,78.93112,7.21546,-26.80148,5.00116,0,0,-58.995,9.49932,-4.37502,0.14104,83.30614,7.28442,0,4E-05,0,4E-05,-61.48636,3.58974,15.21442,1.63722,-46.272,3.25286,0,0,-14.74874,2.37482,-4.37502,0.14104,19.5894,1.70452,6389,ROHIT,-46.73762
3sxn,2.335796751,0.030860259,1.731726666,0.006189473,0,2E-05,0,8E-05,-94.45868,15.64696,71.0148,13.34604,-23.44388,5.9223,0,0,-46.69108,14.82882,-5.74726,0.3206,76.76208,13.53148,0,2E-05,0,8E-05,-59.44038,5.94312,13.14566,2.92752,-46.2947,4.38802,0,0,-11.67274,3.70722,-5.74726,0.3206,18.89294,3.10378,4338,SARVESH,-47.76762
2xp2,0.64947459,0.014313517,1.939519893,0.006939366,0,0,0,8E-05,-56.75194,3.54894,23.08398,3.47462,-33.66796,3.34052,0,0,-11.10654,3.6098,-4.40098,0.10304,27.48494,3.4817,0,0,0,8E-05,-48.42204,2.6771,2.1184,0.79934,-46.3036,2.74992,0,0,-2.77662,0.90246,-4.40098,0.10304,6.51938,0.80316,1685,SHRUTI,-45.64538
5vd2,0.878213845,0.0129195,3.177401414,0.016929354,0,8E-05,0,6E-05,-79.2197,12.0177,47.92478,9.1689,-31.29488,4.91938,0,0,-33.22474,10.66214,-4.5983,0.26634,52.52308,9.38506,0,8E-05,0,6E-05,-54.30116,4.98968,7.9798,2.03068,-46.32132,3.79724,0,0,-8.30618,2.66554,-4.5983,0.26634,12.5781,2.24362,6049,SARVESH,-45.99498
5kka,1.818254544,0.018832954,2.6623083,0.016445607,0,6E-05,0,6E-05,-107.19746,9.16766,80.37962,8.10718,-26.81782,5.28464,0,0,-61.24966,9.20386,-5.44994,0.19376,85.82954,8.17464,0,6E-05,0,6E-05,-61.26024,4.42622,14.9317,1.84254,-46.32854,3.78736,0,0,-15.3124,2.30098,-5.44994,0.19376,20.38164,1.9062,5316,SHRUTI,-45.94782
5dxk,0.262226441,0.003808998,2.432019281,0.012432356,0,4E-05,0,2E-05,-64.2019,2.97258,28.76992,1.92612,-35.432,2.9338,0,0,-19.0823,3.28554,-3.99206,0.08192,32.76196,1.93432,0,4E-05,0,2E-05,-49.8902,2.35462,3.53154,0.4426,-46.35864,2.41478,0,0,-4.77056,0.82138,-3.99206,0.08192,7.52358,0.44656,3417,SHRUTI,-45.11962
5acy,1.465324489,0.016129996,1.391486472,0.00613807,0,2E-05,0,2E-05,-60.35528,4.59172,24.05752,3.33648,-36.29776,3.42818,0,0,-15.86946,3.4235,-4.67998,0.17068,28.73752,3.40394,0,2E-05,0,2E-05,-48.4532,3.12394,2.0903,0.74542,-46.36292,2.96276,0,0,-3.96736,0.85586,-4.67998,0.17068,6.77026,0.80152,4726,ROHIT,-44.48584
4bnn,0.74018055,0.008977206,1.898335724,0.006977972,0,4E-05,0,4E-05,-62.52256,3.50384,38.73902,3.55806,-23.78352,4.04044,0,0,-14.1929,2.54724,-4.11744,0.10876,42.85646,3.58316,0,4E-05,0,4E-05,-51.87792,2.89604,5.50336,0.7644,-46.37454,2.81966,0,0,-3.54822,0.63682,-4.11744,0.10876,9.62078,0.78508,6463,SARVESH,-48.32968
3o0g,0.441036235,0.0055776,2.119383596,0.007713046,0,4E-05,0,4E-05,-80.7802,4.56304,50.82204,4.37676,-29.95818,4.43958,0,0,-34.07382,4.50706,-4.13856,0.08694,54.9606,4.3746,0,4E-05,0,4E-05,-55.22482,2.75606,8.83974,1.0157,-46.38508,2.8278,0,0,-8.51848,1.12676,-4.13856,0.08694,12.97832,1.01298,3639,ROHIT,-46.70634
5aab,0.658381716,0.014595475,1.906088037,0.010469542,0,6E-05,0,4E-05,-57.69564,3.81784,24.0293,3.7439,-33.66632,3.44524,0,0,-11.92044,3.25864,-4.37586,0.10502,28.40516,3.77232,0,6E-05,0,4E-05,-48.75532,2.60998,2.36968,0.85758,-46.38564,2.54022,0,0,-2.98008,0.81464,-4.37586,0.10502,6.74554,0.8824,5719,SHRUTI,-45.77522
3ioe,0.366694534,0.004064703,1.858828752,0.009314712,0,6E-05,0,4E-05,-107.32842,7.04142,78.95562,4.54744,-28.37274,5.17142,0,0,-60.9028,8.09648,-4.1474,0.0713,83.10304,4.542,0,6E-05,0,4E-05,-61.65132,2.91872,15.2625,1.06248,-46.38878,2.7302,0,0,-15.22568,2.02414,-4.1474,0.0713,19.40992,1.05602,10591,SUBHAJIT,-46.4256
3hlf,1.31210995,0.018937458,2.472168855,0.020533193,0,4E-05,0,4E-05,-79.61928,8.95158,62.84506,8.19458,-16.77424,5.55568,0,0,-30.24134,9.24882,-4.7187,0.13326,67.5638,8.25742,0,4E-05,0,4E-05,-56.9383,3.34098,10.5254,1.7893,-46.41288,2.98528,0,0,-7.56032,2.3122,-4.7187,0.13326,15.24414,1.85102,2411,PRADEEP,-49.37794
4duh,0.460582631,0.008407285,1.929277573,0.010308936,0,4E-05,0,6E-05,-80.9707,5.06944,51.27896,4.52282,-29.69172,3.85632,0,0,-33.97042,5.52714,-4.20854,0.1043,55.48746,4.53148,0,4E-05,0,6E-05,-55.49286,2.85262,9.06998,1.0504,-46.42292,2.92906,0,0,-8.4926,1.38176,-4.20854,0.1043,13.27848,1.05814,4550,PRADEEP,-47.00028
2jj3,0.496843469,0.003564692,2.078731583,0.011005438,0,4E-05,0,2E-05,-68.19404,3.57198,31.83314,1.89036,-36.3609,3.1772,0,0,-23.18646,3.60262,-3.85578,0.0781,35.68892,1.9004,0,4E-05,0,2E-05,-50.80416,2.32362,4.37658,0.44958,-46.42762,2.28002,0,0,-5.79664,0.90066,-3.85578,0.0781,8.23234,0.45262,2329,SHRUTI,-45.00756
1j1b,2.30864546,0.024332958,1.917346034,0.010769255,0,0,0,2E-05,-49.85722,3.083,18.47736,2.77418,-31.37984,3.86028,0,0,0,0,-1.2475,0.10206,19.72486,2.79304,0,0,0,2E-05,-49.8572,3.083,3.40734,0.6453,-46.44988,3.08506,0,0,0,0,-1.2475,0.10206,4.65482,0.65898,6515,SHRUTI,-49.85722
4zb8,1.900802436,0.015409129,1.747786666,0.007819273,0,2E-05,0,2E-05,-133.5786,13.02796,100.80756,10.91396,-32.771,5.16694,0,0,-90.16684,14.65196,-5.20092,0.1715,106.0085,10.93062,0,2E-05,0,2E-05,-65.95348,4.54522,19.50164,2.51542,-46.45184,4.15432,0,0,-22.5417,3.663,-5.20092,0.1715,24.70254,2.52952,6288,PRADEEP,-43.41176
5dyd,0.60931176,0.008280452,2.054789651,0.009025171,0,4E-05,0,4E-05,-67.8322,3.3181,32.81324,2.13606,-35.01896,2.85668,0,0,-22.64732,3.43768,-4.02966,0.08388,36.8429,2.1525,0,4E-05,0,4E-05,-50.84672,2.58738,4.38906,0.49722,-46.45764,2.5834,0,0,-5.66182,0.85942,-4.02966,0.08388,8.41874,0.51192,6418,PRADEEP,-45.1849
4uiw,1.047744161,0.017168679,1.572271038,0.006743052,0,8E-05,0,4E-05,-85.12732,9.0643,52.83672,7.93596,-32.2906,3.86958,0,0,-39.48354,8.69438,-4.60964,0.193,57.4464,8.04448,0,8E-05,0,4E-05,-55.51468,3.916,9.04844,1.82156,-46.46628,3.23312,0,0,-9.87088,2.1736,-4.60964,0.193,13.6581,1.9256,6175,ROHIT,-45.64378
4grb,0.573242206,0.005584771,1.496838182,0.005831659,0,4E-05,0,6E-05,-65.17148,5.72082,34.7139,4.9028,-30.45758,3.29266,0,0,-18.37312,6.01362,-4.31958,0.10528,39.0335,4.9172,0,4E-05,0,6E-05,-51.39164,3.14332,4.89656,1.12204,-46.49508,3.0239,0,0,-4.5933,1.5034,-4.31958,0.10528,9.21614,1.13434,7241,SARVESH,-46.79838
5tui,0.512586976,0.00854715,1.68631716,0.005066415,0,6E-05,0,4E-05,-81.48492,6.7937,58.15836,7.923,-23.32654,5.00142,0,0,-32.26492,7.27186,-4.59316,0.10144,62.75152,7.95526,0,6E-05,0,4E-05,-57.2862,2.93544,10.76642,1.73584,-46.51978,2.78146,0,0,-8.06624,1.81796,-4.59316,0.10144,15.35958,1.77058,3004,ROHIT,-49.21998
1w9e,1.865264211,0.01009461,1.833381593,0.016650445,0,4E-05,0,6E-05,-272.92764,30.07394,225.65074,27.14034,-47.27688,6.3847,0,0,-235.91516,30.71754,-4.36196,0.16242,230.0127,27.18964,0,4E-05,0,6E-05,-95.99126,7.78002,49.45324,6.2208,-46.53802,3.53432,0,0,-58.9788,7.67938,-4.36196,0.16242,53.8152,6.26972,4638,PRADEEP,-37.01246
4fc7,1.516608842,0.020719309,1.458619266,0.00724224,0,4E-05,0,4E-05,-101.89444,13.07094,76.84952,10.67864,-25.04494,5.37838,0,0,-54.5753,12.18016,-5.06458,0.21446,81.9141,10.78318,0,4E-05,0,4E-05,-60.96294,5.13436,14.41454,2.42984,-46.5484,3.84482,0,0,-13.64384,3.04506,-5.06458,0.21446,19.47914,2.53094,5781,SARVESH,-47.31914
3dat,1.226822061,0.010160339,1.86548682,0.006001526,0,2E-05,0,0,-103.49178,9.49362,76.95782,8.91124,-26.53398,4.79442,0,0,-56.89264,9.34194,-4.79536,0.17438,81.75318,9.00296,0,2E-05,0,0,-60.82232,3.9943,14.2675,1.97038,-46.55482,3.2426,0,0,-14.22316,2.33548,-4.79536,0.17438,19.06284,2.0635,7215,SHRUTI,-46.59918
3g51,1.324198515,0.005625689,2.173017572,0.007186282,0,4E-05,0,2E-05,-172.1379,11.72186,137.67186,9.72248,-34.46602,6.47366,0,0,-128.7967,12.98072,-4.48086,0.07906,142.15274,9.71512,0,4E-05,0,2E-05,-75.54034,4.4767,28.95654,2.33532,-46.58386,3.80358,0,0,-32.19918,3.24518,-4.48086,0.07906,33.4374,2.3283,1828,DIVYAK,-43.3412
4zz2,0.61524458,0.015893086,1.372241315,0.006003542,0,4E-05,0,4E-05,-125.34142,9.52344,87.77152,8.77364,-37.5699,4.6991,0,0,-81.83204,9.88284,-4.39394,0.11564,92.16546,8.81802,0,4E-05,0,4E-05,-63.9674,3.58294,17.37976,2.01952,-46.58762,2.86898,0,0,-20.458,2.4707,-4.39394,0.11564,21.7737,2.06268,5049,PRADEEP,-43.5094
4wkn,0.752097934,0.00530224,1.539001645,0.007736169,0,4E-05,0,8E-05,-97.22272,3.7306,60.44674,3.62146,-36.776,3.65968,0,0,-53.23888,3.97204,-3.30084,0.0502,63.74756,3.63734,0,4E-05,0,8E-05,-57.29358,2.63176,10.69648,0.77792,-46.5971,2.57656,0,0,-13.30972,0.99302,-3.30084,0.0502,13.9973,0.79272,2565,DIVYAK,-43.98384
3gwx,2.436701026,0.01574054,2.171757802,0.006872617,0,8E-05,0,8E-05,-61.38134,3.30398,30.60214,2.79884,-30.77926,3.40586,0,0,-15.03702,3.34682,-4.58178,0.14268,35.18388,2.8225,0,8E-05,0,8E-05,-50.1036,2.47466,3.50564,0.6178,-46.59796,2.526,0,0,-3.75928,0.8367,-4.58178,0.14268,8.08738,0.62952,7479,ROHIT,-46.34432
5dzh,0.676983875,0.008637694,1.998709611,0.00782887,0,2E-05,0,6E-05,-47.53512,2.87588,14.92926,1.9537,-32.60586,3.06178,0,0,-0.987,1.9991,-4.11348,0.08902,19.04276,1.96872,0,2E-05,0,6E-05,-46.79484,2.3511,0.14972,0.44558,-46.64512,2.39138,0,0,-0.24674,0.49978,-4.11348,0.08902,4.2632,0.45362,5829,SHRUTI,-46.5481
4i0s,0.331938423,0.005452179,2.127518077,0.014378551,0,2E-05,0,4E-05,-73.60044,5.07304,41.49264,3.11656,-32.1078,4.03844,0,0,-26.98908,5.17294,-4.07462,0.08482,45.56728,3.11638,0,2E-05,0,4E-05,-53.35864,2.6179,6.70252,0.71848,-46.6561,2.50946,0,0,-6.7473,1.29324,-4.07462,0.08482,10.77712,0.7165,4480,PRADEEP,-46.61136
4bng,1.186193647,0.023037468,1.777886236,0.007642913,0,4E-05,0,4E-05,-53.96394,3.75136,20.68052,4.071,-33.2834,3.71336,0,0,-6.60832,2.67312,-3.01578,0.086,23.69632,4.08778,0,4E-05,0,4E-05,-49.0077,2.79936,2.35106,0.90208,-46.65666,2.71046,0,0,-1.65208,0.66826,-3.01578,0.086,5.3668,0.9168,6140,PRADEEP,-47.3556
4og8,0.460812894,0.00650438,2.272135778,0.015069313,0,8E-05,0,0.0001,-58.00572,3.75722,31.56386,4.86846,-26.44186,4.34618,0,0,-9.59466,3.12326,-4.74866,0.12654,36.31252,4.90572,0,8E-05,0,0.0001,-50.80972,2.50922,4.14602,1.11138,-46.66368,2.53386,0,0,-2.39868,0.7808,-4.74866,0.12654,8.8947,1.1448,4145,SARVESH,-48.41108
6fr0,0.678108282,0.009344654,1.493623459,0.007218433,0,4E-05,0,4E-05,-75.49516,8.05788,44.17002,6.98792,-31.32516,3.36506,0,0,-29.46158,7.71228,-4.99032,0.19442,49.16032,7.07178,0,4E-05,0,4E-05,-53.39898,3.60856,6.72172,1.58956,-46.67728,3.0049,0,0,-7.36538,1.92806,-4.99032,0.19442,11.71202,1.66714,1386,SHRUTI,-46.03356
4e4k,1.501975789,0.010161971,2.232857596,0.01006474,0,8E-05,0,6E-05,-58.0575,5.2519,32.95378,4.25122,-25.10374,4.15398,0,0,-9.92596,5.01396,-4.9164,0.13106,37.87018,4.23936,0,8E-05,0,6E-05,-50.61304,3.17534,3.89276,0.95522,-46.72026,2.98396,0,0,-2.48148,1.25348,-4.9164,0.13106,8.80916,0.93918,4425,ROHIT,-48.13154
5v42,0.506204609,0.0088199,2.095062711,0.014175233,0,2E-05,0,0.0001,-66.68614,5.0227,39.61818,4.69204,-27.06796,4.39888,0,0,-18.81096,4.74756,-4.32622,0.10978,43.9444,4.69822,0,2E-05,0,0.0001,-52.57792,3.30882,5.81912,1.0945,-46.75882,3.1968,0,0,-4.70274,1.1869,-4.32622,0.10978,10.14536,1.09696,9503,PRADEEP,-47.8752
2w17,1.116805589,0.017893019,2.080527579,0.007297824,0,6E-05,0,2E-05,-78.88846,6.90882,48.90516,6.1239,-29.98328,3.87898,0,0,-32.02338,7.11682,-4.61526,0.14972,53.52042,6.15352,0,6E-05,0,2E-05,-54.87088,3.60998,8.11196,1.43216,-46.75894,3.44942,0,0,-8.00584,1.7792,-4.61526,0.14972,12.72722,1.45884,1897,SHRUTI,-46.86506
6pz4,1.007170132,0.019276414,2.49421355,0.019988951,0,4E-05,0,6E-05,-70.55722,8.6925,50.03044,7.16638,-20.52678,4.94152,0,0,-20.586,7.4745,-4.978,0.18828,55.00844,7.24496,0,4E-05,0,6E-05,-55.11772,4.10324,8.35856,1.54824,-46.7592,3.36064,0,0,-5.1465,1.86864,-4.978,0.18828,13.33658,1.62204,1862,SARVESH,-49.97126
